"id","offer_id","seo_term","region_id","filter_attribute","created_at"
5784,G1751552517256ED,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41222,2025-07-30 17:30:18.015
5789,G1705710799587AX,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41149,2025-07-30 17:30:19.036
5793,G1705713960891SN,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41222,2025-07-30 17:30:19.476
5796,G1705711074499KT,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41303,2025-07-30 17:30:19.917
5798,G1705711074083FO,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41261,2025-07-30 17:30:19.985
5800,G1705713109236LH,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41146,2025-07-30 17:30:20.247
5801,G1705711806202AE,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41207,2025-07-30 17:30:20.270
5804,G1705712784207YT,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41249,2025-07-30 17:30:21.369
5805,G1705712784492DP,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41261,2025-07-30 17:30:21.612
5807,G1711468938603YX,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41146,2025-07-30 17:30:21.726
5808,G1711468939183QP,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41149,2025-07-30 17:30:21.766
5813,G1706614666985GW,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41249,2025-07-30 17:30:22.305
5814,G1705712922472SC,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41261,2025-07-30 17:30:22.347
5817,G1705712783629KL,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41207,2025-07-30 17:30:22.760
5819,G1705712786106ZL,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41161,2025-07-30 17:30:23.019
5820,G1705713176807HE,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41224,2025-07-30 17:30:23.138
5822,G1705713177410SS,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41249,2025-07-30 17:30:23.429
5823,G1711468946595UJ,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41261,2025-07-30 17:30:23.436
5824,G1705712094806LQ,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41303,2025-07-30 17:30:23.990
5825,G1711468962475CN,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41149,2025-07-30 17:30:23.991
5826,G1711468962182AA,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41146,2025-07-30 17:30:24.007
5827,G1711468962835ZA,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41161,2025-07-30 17:30:24.320
5828,G1705711428524WE,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41207,2025-07-30 17:30:24.353
5829,G1705711578702CE,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41224,2025-07-30 17:30:24.674
5830,G1705711483301JC,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41222,2025-07-30 17:30:24.675
5831,G1705711918023MY,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41261,2025-07-30 17:30:24.829
5832,G1705711807948VZ,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41249,2025-07-30 17:30:25.044
5833,G1705712095691NW,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41303,2025-07-30 17:30:25.098
5834,G1705713294257IS,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41146,2025-07-30 17:30:25.251
5835,G1705714180091BI,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41149,2025-07-30 17:30:25.538
3673,G1709767022430WQ,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54769,2025-07-25 16:54:43.685
5331,G1711468928336VV,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41145,2025-07-30 17:29:33.560
5342,G1711468960635XX,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41145,2025-07-30 17:29:34.205
5346,G1711468936510NZ,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41207,2025-07-30 17:29:34.581
5352,G1705713108949CY,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41149,2025-07-30 17:29:35.030
5355,G1711468935810MZ,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41222,2025-07-30 17:29:35.103
5358,G1705713040789PZ,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41146,2025-07-30 17:29:35.232
5361,G1705711916245TX,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41249,2025-07-30 17:29:35.482
5365,G1711468955459BL,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41222,2025-07-30 17:29:35.615
5366,G1705711428248ZK,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41249,2025-07-30 17:29:35.843
5370,G1705711430044JA,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41303,2025-07-30 17:29:36.186
5374,G1705711157960QQ,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41145,2025-07-30 17:29:36.422
5383,G1711468960592XB,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41149,2025-07-30 17:29:36.666
5386,G1711468932661NP,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41161,2025-07-30 17:29:37.062
5389,G1711468933996LG,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41261,2025-07-30 17:29:37.329
5393,G1705714015392VK,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41149,2025-07-30 17:29:37.556
5409,G1711468930072IR,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41222,2025-07-30 17:29:38.589
5412,G1751553034809DX,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41145,2025-07-30 17:29:38.813
5414,G1751553034551UK,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41146,2025-07-30 17:29:38.967
5417,G1705712843294VO,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41207,2025-07-30 17:29:39.324
5419,G1705712918975CU,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41224,2025-07-30 17:29:39.427
5421,G1711468952432CD,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41145,2025-07-30 17:29:39.792
5425,G1705709082999MW,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41222,2025-07-30 17:29:39.986
5429,G1705713961159VK,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41303,2025-07-30 17:29:40.186
5433,G1705709080252HK,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41146,2025-07-30 17:29:40.361
5439,G1711468953372QD,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41224,2025-07-30 17:29:41.522
5444,G1751552536711HW,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41161,2025-07-30 17:29:41.882
5448,G1751552535924HG,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41145,2025-07-30 17:29:42.053
5452,G1706196466247NW,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41149,2025-07-30 17:29:42.196
5456,G1751631839160FL,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41145,2025-07-30 17:29:42.567
